feature_configuration,method,n_bins,bin_id,bin_lower,bin_upper,n,mean_confidence,empirical_accuracy,accuracy_ci95_low,accuracy_ci95_high
F7,Raw,15,11,0.6666666666666666,0.7333333333333333,146,0.700795176711655,0.6575342465753424,0.5774082086278745,0.7295829296194201
F7,Raw,15,12,0.7333333333333333,0.8,181,0.7679305556683057,0.7734806629834254,0.7071871473365822,0.8284069809051516
F7,Raw,15,13,0.8,0.8666666666666667,318,0.8368783636803514,0.8459119496855346,0.8021243038663135,0.881442073213053
F7,Raw,15,14,0.8666666666666667,0.9333333333333333,766,0.9052546432158264,0.8851174934725848,0.8605884361142018,0.9058031283305217
F7,Raw,15,15,0.9333333333333333,1.0,28335,0.9953231905010028,0.9956943709193576,0.9948618998185338,0.9963924547682325
F7,Sigmoid,15,1,0.0,0.06666666666666667,0,,,,
F7,Sigmoid,15,2,0.06666666666666667,0.13333333333333333,0,,,,
F7,Sigmoid,15,3,0.13333333333333333,0.2,0,,,,
F7,Sigmoid,15,4,0.2,0.26666666666666666,0,,,,
F7,Sigmoid,15,5,0.26666666666666666,0.3333333333333333,0,,,,
F7,Sigmoid,15,6,0.3333333333333333,0.4,0,,,,
F7,Sigmoid,15,7,0.4,0.4666666666666667,0,,,,
F7,Sigmoid,15,8,0.4666666666666667,0.5333333333333333,54,0.5147790175736283,0.5370370370370371,0.40605356021011496,0.6631009888201891
F7,Sigmoid,15,9,0.5333333333333333,0.6,98,0.5670237549810081,0.5510204081632653,0.4524754605807967,0.6457163771618889
F7,Sigmoid,15,10,0.6,0.6666666666666666,108,0.6369514340548887,0.7129629629629629,0.6214901729048635,0.7898063220178991
F7,Sigmoid,15,11,0.6666666666666666,0.7333333333333333,148,0.7012608647981898,0.6621621621621622,0.5827181341439055,0.7334010626341104
F7,Sigmoid,15,12,0.7333333333333333,0.8,186,0.769085922131547,0.7849462365591398,0.7204517710164354,0.8379088771711521
F7,Sigmoid,15,13,0.8,0.8666666666666667,323,0.8375624093829116,0.8513931888544891,0.8084802432249428,0.8860460901816541
F7,Sigmoid,15,14,0.8666666666666667,0.9333333333333333,778,0.9053804508125399,0.8856041131105399,0.861318477466955,0.9061005347008338
F7,Sigmoid,15,15,0.9333333333333333,1.0,28305,0.9952393474572464,0.9957604663487016,0.9949333347585262,0.9964530503333752
F7,Isotonic,15,1,0.0,0.06666666666666667,0,,,,
F7,Isotonic,15,2,0.06666666666666667,0.13333333333333333,0,,,,
F7,Isotonic,15,3,0.13333333333333333,0.2,0,,,,
F7,Isotonic,15,4,0.2,0.26666666666666666,0,,,,
F7,Isotonic,15,5,0.26666666666666666,0.3333333333333333,0,,,,
F7,Isotonic,15,6,0.3333333333333333,0.4,0,,,,
F7,Isotonic,15,7,0.4,0.4666666666666667,0,,,,
F7,Isotonic,15,8,0.4666666666666667,0.5333333333333333,45,0.5016286644951137,0.4888888888888889,0.349570237528785,0.6299553535541681
F7,Isotonic,15,9,0.5333333333333333,0.6,70,0.5467463599261859,0.5571428571428572,0.44083551053188,0.6675047109069467
F7,Isotonic,15,10,0.6,0.6666666666666666,122,0.626660818343561,0.6639344262295082,0.5762487470090507,0.7416115223716007
F7,Isotonic,15,11,0.6666666666666666,0.7333333333333333,142,0.7088713837703561,0.6549295774647887,0.5735868353855637,0.7281106404611098
F7,Isotonic,15,12,0.7333333333333333,0.8,226,0.7533006878042808,0.7831858407079646,0.7249696054580326,0.8319360139927057
F7,Isotonic,15,13,0.8,0.8666666666666667,279,0.838265264789451,0.8566308243727598,0.8106595032588026,0.8929148624997725
F7,Isotonic,15,14,0.8666666666666667,0.9333333333333333,935,0.9098892426250292,0.8909090909090909,0.8693038301454665,0.9093153851991882
F7,Isotonic,15,15,0.9333333333333333,1.0,28181,0.9954184555483541,0.9959547212661013,0.9951430208646858,0.9966312291640248
